drink,Volume (ml),Calories,Caffeine (mg),type,Calories (per ml),Caffeine (mg/ml)
Brew Dr Kombucha Uplift,414.029,80,130,Tea,0.19322318,0.313987668
Brisk Iced Tea,354.882,70,11,Tea,0.197248663,0.030996218
KOE Kombucha,354.882,35,15,Tea,0.098624331,0.042267571
Tejava Iced Tea,354.882,0,50,Tea,0,0.140891902
Turkey Hill Iced Tea,354.882,120,64,Tea,0.338140565,0.180341635
Big Train Spiced Chai,236.588,210,65,Tea,0.887618983,0.274739209
Bigelow Tea,236.588,0,45,Tea,0,0.190204068
Brown Rice Tea,236.588,0,4,Tea,0,0.016907028
Chai Tea,236.588,0,50,Tea,0,0.211337853
Cold Brew Tea,236.588,0,70,Tea,0,0.295872994
Crystal Light Iced Tea,236.588,5,10,Tea,0.021133785,0.042267571
Fast Lane Black Tea,236.588,0,110,Tea,0,0.464943277
Guayusa Tea,236.588,0,41,Tea,0,0.17329704
HICAF Tea,236.588,0,110,Tea,0,0.464943277
K Cup Tea,236.588,0,41,Tea,0,0.17329704
Kombucha Tea,236.588,30,24,Tea,0.126802712,0.10144217
Lipton Natural Energy Tea,236.588,0,75,Tea,0,0.31700678
Lipton Tea,236.588,0,55,Tea,0,0.232471638
Matcha Tea,236.588,0,64,Tea,0,0.270512452
Morning Thunder Tea,236.588,0,45,Tea,0,0.190204068
Tazo Chai,236.588,0,47,Tea,0,0.198657582
Tea (Black),236.588,0,42,Tea,0,0.177523797
Tea (Decaf),236.588,0,4,Tea,0,0.016907028
Tea (Green),236.588,0,18,Tea,0,0.076081627
Tea (Herbal),236.588,0,0,Tea,0,0
Tea (Iced),236.588,0,47,Tea,0,0.198657582
Tea (Instant),236.588,0,40,Tea,0,0.169070283
Tea (Jasmine),236.588,0,25,Tea,0,0.105668927
Tea (Oolong),236.588,0,37,Tea,0,0.156390011
Tea (White),236.588,0,28,Tea,0,0.118349198
Teavana Tea,236.588,0,41,Tea,0,0.17329704
Twig Tea (Kukicha),236.588,0,25,Tea,0,0.105668927
Waka Instant Tea,236.588,0,30,Tea,0,0.126802712
Yellow Tea,236.588,0,63,Tea,0,0.266285695
Yerba Mate Tea,236.588,0,40,Tea,0,0.169070283
YMateina Yerba Mate,236.588,0,80,Tea,0,0.338140565
Zest Highly Caffeinated Tea,236.588,0,150,Tea,0,0.634013559
Oregon Chai Tea,177.441,130,45,Tea,0.732637891,0.253605424
Pacific Chai,177.441,90,29,Tea,0.507210848,0.163434606
